Name,Age,Position,Player Nationality,Market Value,Left,LeagueLefted,Joined,LeagueJoined,Fee
Mark McKenzie,25,Centre-Back,United States,6.0,KRC Genk,Jupiler Pro League,Toulouse,Ligue 1,3.0
Benjamín Garré,24,Right Winger,Argentina,6.0,KS Samara,Premier Liga,Vasco da Gama,Série A,3.0
Filip Marchwinski,22,Attacking Midfield,Poland,6.0,Lech Poznan,Ekstraklasa,Lecce,Serie A,3.0
Keven Schlotterbeck,27,Centre-Back,Germany,6.0,SC Freiburg,Bundesliga,FC Augsburg,Bundesliga,2.5
Wout Weghorst,32,Centre-Forward,Netherlands,6.0,Burnley,Championship,Ajax,Eredivisie,2.38
Nicolás Fernández,28,Centre-Forward,Argentina,6.0,Defensa,Liga Profesional (- 23/24),Belgrano,Liga Profesional (- 23/24),2.29
César Huerta,24,Left Winger,Mexico,6.0,UNAM Pumas,Liga MX Apertura,RSC Anderlecht,Jupiler Pro League,2.0
Roko Simic,20,Centre-Forward,Croatia,6.0,RB Salzburg,Bundesliga,Cardiff,Championship,2.0
Wanderson,30,Left Winger,Brazil,6.0,Internacional,Série A,Cruzeiro,Série A,2.0
Rodrigo Huescas,20,Right-Back,Mexico,6.0,CD Cruz Azul,Liga MX Apertura,FC Copenhagen,Superliga,1.85
Jacob Bruun Larsen,26,Left Winger,Denmark,6.0,TSG Hoffenheim,Bundesliga,VfB Stuttgart,Bundesliga,1.7
Riccardo Sottil,25,Left Winger,Italy,6.0,Fiorentina,Serie A,AC Milan,Serie A,
Robert Navarro,22,Attacking Midfield,Spain,6.0,Real Sociedad,LaLiga,RCD Mallorca,LaLiga,8.5
Fran Navarro,26,Centre-Forward,Spain,6.0,FC Porto,Liga Portugal,SC Braga,Liga Portugal,
Matt Grimes,29,Defensive Midfield,England,6.0,Swansea,Championship,Coventry,Championship,0.04
Mahmoud Dahoud,28,Central Midfield,Syria,6.0,Brighton,Premier League,E. Frankfurt,Bundesliga,
Thomas Foket,29,Right-Back,Belgium,6.0,Stade Reims,Ligue 1,RSC Anderlecht,Jupiler Pro League,
Ibrahima Sissoko,26,Defensive Midfield,Mali,6.0,R. Strasbourg,Ligue 1,VfL Bochum,Bundesliga,
Issa Kaboré,23,Right-Back,Burkina Faso,6.0,Man City,Premier League,Werder Bremen,Bundesliga,
Derrick Köhn,25,Left-Back,Germany,6.0,Galatasaray,Süper Lig,Werder Bremen,Bundesliga,
Abdülkadir Ömür,25,Attacking Midfield,Türkiye,6.0,Hull City,Championship,C. Rizespor,Süper Lig,
Rade Krunic,30,Defensive Midfield,Bosnia-Herzegovina,6.0,Fenerbahce,Süper Lig,Red Star,Super liga Srbije,
Steve Mounié,29,Centre-Forward,Benin,6.0,Stade Brestois,Ligue 1,FC Augsburg,Bundesliga,
Talles Magno,22,Left Winger,Brazil,6.0,New York City,MLS,Corinthians,Série A,
Luan Cândido,24,Left-Back,Brazil,6.0,RB Bragantino,Série A,Grêmio,Série A,
Gijs Smal,26,Left-Back,Netherlands,6.0,Twente FC,Eredivisie,Feyenoord,Eredivisie,
Julián Carranza,24,Centre-Forward,Argentina,6.0,Philadelphia,MLS,Feyenoord,Eredivisie,
Hugo Bueno,21,Left-Back,Spain,6.0,Wolves,Premier League,Feyenoord,Eredivisie,
Nemanja Maksimovic,29,Central Midfield,Serbia,6.0,Getafe,LaLiga,Panathinaikos,Super League 1,
Flavius Daniliuc,23,Centre-Back,Austria,6.0,Salernitana,Serie B,Hellas Verona,Serie A,
Chris Mepham,26,Centre-Back,Wales,6.0,Bournemouth,Premier League,Sunderland,Championship,
Anton Miranchuk,28,Attacking Midfield,Russia,6.0,Loko Moscow,Premier Liga,FC Sion,Super League,
Gabriel Menino,24,Central Midfield,Brazil,6.0,Palmeiras,Série A,Atlético-MG,Série A,
Chidera Ejuke,26,Left Winger,Nigeria,6.0,CSKA Moscow,Premier Liga,Sevilla FC,LaLiga,
Jeffrey Schlupp,32,Left Midfield,Ghana,6.0,Crystal Palace,Premier League,Celtic,Premiership,
Alex Telles,31,Left-Back,Brazil,6.0,Al-Nassr,Saudi Pro League,Botafogo,Série A,
Roko Simic,20,Centre-Forward,Croatia,6.0,Cardiff,Championship,KV Kortrijk,Jupiler Pro League,
Gabriel Barbosa,28,Centre-Forward,Brazil,6.0,Flamengo,Série A,Cruzeiro,Série A,
Marquinhos,21,Right Winger,Brazil,6.0,Arsenal,Premier League,Cruzeiro,Série A,
Valentín Barco,20,Left-Back,Argentina,6.0,Brighton,Premier League,R. Strasbourg,Ligue 1,
Walid Cheddira,26,Centre-Forward,Morocco,6.0,Napoli,Serie A,Espanyol,LaLiga,
Junior Mwanga,21,Defensive Midfield,France,6.0,R. Strasbourg,Ligue 1,Le Havre AC,Ligue 1,
Lorenzo Colombo,22,Centre-Forward,Italy,6.0,AC Milan,Serie A,FC Empoli,Serie A,
Saïdou Sow,22,Centre-Back,Guinea,6.0,R. Strasbourg,Ligue 1,FC Nantes,Ligue 1,
Johann Lepenant,21,Defensive Midfield,France,6.0,Olympique Lyon,Ligue 1,FC Nantes,Ligue 1,
Jesper Karlsson,26,Left Winger,Sweden,6.0,Bologna,Serie A,Lecce,Serie A,
Festy Ebosele,22,Right-Back,Ireland,6.0,Udinese,Serie A,Watford,Championship,
Pape Gueye,25,Defensive Midfield,Senegal,6.0,Marseille,Ligue 1,Villarreal,LaLiga,
Sergi Cardona,25,Left-Back,Spain,6.0,UD Las Palmas,LaLiga,Villarreal,LaLiga,
Mady Camara,27,Central Midfield,Guinea,6.0,Olympiacos,Super League 1,PAOK Salonika,Super League 1,
Jaidon Anthony,24,Left Winger,England,6.0,Bournemouth,Premier League,Burnley,Championship,
Elia Caprile,23,Goalkeeper,Italy,6.0,Napoli,Serie A,Cagliari,Serie A,
Florinel Coman,26,Left Winger,Romania,6.0,Al-Gharafa,Stars League,Cagliari,Serie A,
Gianluca Gaetano,24,Attacking Midfield,Italy,6.0,Napoli,Serie A,Cagliari,Serie A,
Óliver Torres,29,Central Midfield,Spain,6.0,Sevilla FC,LaLiga,Monterrey,Liga MX Apertura,
Tomás Palacios,21,Centre-Back,Argentina,6.0,Inter,Serie A,Monza,Serie A,
Soumaïla Coulibaly,20,Centre-Back,France,6.0,Bor. Dortmund,Bundesliga,Stade Brestois,Ligue 1,
Sofiane Boufal,30,Left Winger,Morocco,6.0,Al-Rayyan,Stars League,Union SG,Jupiler Pro League,
Festy Ebosele,22,Right-Back,Ireland,6.0,Udinese,Serie A,Basaksehir,Süper Lig,
Berat Özdemir,26,Defensive Midfield,Türkiye,6.0,Al-Ettifaq,Saudi Pro League,Basaksehir,Süper Lig,
Glen Kamara,29,Central Midfield,Finland,6.0,Stade Rennais,Ligue 1,Al-Shabab,Saudi Pro League,
Kayky,21,Right Winger,Brazil,6.0,Man City U21,Premier League 2,EC Bahia,Série A,
Koen Casteels,32,Goalkeeper,Belgium,6.0,VfL Wolfsburg,Bundesliga,Al-Qadsiah,Saudi Pro League,
Marcus Ingvartsen,29,Centre-Forward,Denmark,6.0,Nordsjaelland,Superliga,San Diego,MLS,
Ahmed Kutucu,24,Left Winger,Türkiye,3.5,Eyüpspor,Süper Lig,Galatasaray,Süper Lig,5.96
Jayden Bogle,23,Right-Back,England,3.8,Sheff Utd,Championship,Leeds,Championship,5.95
Jack Rudoni,23,Central Midfield,England,4.8,Huddersfield,League One,Coventry,Championship,5.9
Michael Golding,18,Central Midfield,England,3.0,Chelsea U21,Premier League 2,Leicester,Premier League,5.9
Jordan Ayew,32,Right Winger,Ghana,4.0,Crystal Palace,Premier League,Leicester,Premier League,5.9
Rick,25,Left Winger,Brazil,2.8,Ludogorets,efbet Liga,CA Talleres,Torneo Apertura,5.85
Nelson Deossa,24,Central Midfield,Colombia,4.5,Pachuca,Liga MX Apertura,Monterrey,Liga MX Apertura,5.8
Tomás Cuello,24,Left Winger,Argentina,3.0,Athletico-PR,Série B,Atlético-MG,Série A,5.75
Nathaniel Adjei,21,Centre-Back,Ghana,2.5,Hammarby,Allsvenskan,FC Lorient,Ligue 2,5.7
Marko Stamenic,22,Defensive Midfield,New Zealand,5.0,Red Star,Super liga Srbije,Nottm Forest,Premier League,5.5
Isidro Pitta,25,Centre-Forward,Paraguay,5.5,Cuiabá-MT,Série B,RB Bragantino,Série A,4.35
Benja Domínguez,20,Left Winger,Argentina,5.5,Gimnasia,Liga Profesional (- 23/24),Bologna,Serie A,4.0
Rodrigo Villagra,24,Defensive Midfield,Argentina,5.5,River Plate,Torneo Apertura,CSKA Moscow,Premier Liga,3.7
Lorenzo Pirola,22,Centre-Back,Italy,5.5,Salernitana,Serie B,Olympiacos,Super League 1,3.0
Diogo Gonçalves,27,Attacking Midfield,Portugal,5.5,FC Copenhagen,Superliga,Salt Lake,MLS,3.0
Daniel Svensson,22,Left-Back,Sweden,5.5,Nordsjaelland,Superliga,Bor. Dortmund,Bundesliga,
Marcus Pedersen,24,Right Midfield,Norway,5.5,Feyenoord,Eredivisie,Torino,Serie A,
John Kennedy,22,Centre-Forward,Brazil,5.5,Fluminense,Série A,Pachuca,Liga MX Apertura,
Marlon,27,Left-Back,Brazil,5.5,Cruzeiro,Série A,Grêmio,Série A,
Danilo Cataldi,30,Defensive Midfield,Italy,5.5,Lazio,Serie A,Fiorentina,Serie A,
Ibrahima Diallo,25,Defensive Midfield,France,5.5,Al-Duhail SC,Stars League,Al-Khor SC,Stars League,
Carlos Júnior,29,Right Winger,Brazil,5.5,Al-Shabab,Saudi Pro League,NEOM SC,Saudi First Division League,
Ali Abdullah Hazazi,30,Central Midfield,Saudi Arabia,3.0,Al-Ettifaq,Saudi Pro League,Al-Qadsiah,Saudi Pro League,5.5
Jeffinho,25,Left Winger,Brazil,5.0,Olympique Lyon,Ligue 1,Botafogo,Série A,5.3
Tommy Conway,22,Centre-Forward,Scotland,4.0,Bristol City,Championship,Middlesbrough,Championship,5.3
Kazeem Olaigbe,22,Left Winger,Belgium,1.8,Cercle Brugge,Jupiler Pro League,Stade Rennais,Ligue 1,5.25
Óscar Perea,18,Left Winger,Colombia,2.0,Atl. Nacional,Liga DIMAYOR II,R. Strasbourg,Ligue 1,5.2
Nadir Zortea,25,Right Midfield,Italy,3.0,Atalanta BC,Serie A,Cagliari,Serie A,5.1
Finn Jeltsch,18,Centre-Back,Germany,5.0,1.FC Nuremberg,2. Bundesliga,VfB Stuttgart,Bundesliga,8.0
Vitinho,25,Right-Back,Brazil,5.0,Burnley,Championship,Botafogo,Série A,8.0
Largie Ramazani,23,Left Winger,Belgium,5.0,UD Almería,LaLiga2,Leeds,Championship,7.7
Malick Yalcouyé,18,Right Midfield,Mali,5.0,IFK Göteborg,Allsvenskan,Brighton,Premier League,7.0
Biel,23,Left Winger,Brazil,5.0,EC Bahia,Série A,Sporting CP,Liga Portugal,6.43
Álex Jiménez,19,Right-Back,Spain,4.0,Real Madrid U19,Spain,AC Milan,Serie A,5.0
Arthur Gomes,26,Left Winger,Brazil,3.0,Cruzeiro,Série A,Dynamo Moscow,Premier Liga,5.0
Mohamed Diomandé,22,Central Midfield,Cote d'Ivoire,4.0,Nordsjaelland,Superliga,Rangers,Premiership,5.0
Joachim Kayi Sanda,18,Centre-Back,France,8.0,Valenciennes FC,Championnat National,Southampton,Premier League,5.0
Gabriel Pereira,24,Centre-Back,Brazil,4.0,Gil Vicente,Liga Portugal,FC Copenhagen,Superliga,5.0
Albion Rrahmani,23,Centre-Forward,Kosovo,3.5,FC Rapid,SuperLiga,Sparta Prague,Chance Liga,5.0
Marquinhos,24,Left Winger,Brazil,4.0,Ferencváros,NB I.,Spartak Moscow,Premier Liga,5.0
Jordan James,20,Central Midfield,Wales,4.5,Birmingham,League One,Stade Rennais,Ligue 1,5.0
Enzo Boyomo,22,Centre-Back,Cameroon,3.0,Real Valladolid,LaLiga,CA Osasuna,LaLiga,5.0
Cher Ndour,20,Central Midfield,Italy,4.0,Paris SG,Ligue 1,Fiorentina,Serie A,5.0
Matías Moreno,20,Centre-Back,Argentina,2.0,Belgrano,Liga Profesional (- 23/24),Fiorentina,Serie A,5.0
Bastien Meupiyou,18,Centre-Back,France,8.0,FC Nantes,Ligue 1,Wolves,Premier League,5.0
Juninho,28,Centre-Forward,Brazil,2.0,Qarabag FK,Premyer Liqa,Flamengo,Série A,5.0
Sergey Volkov,21,Right-Back,Russia,4.5,Krasnodar,Premier Liga,Zenit S-Pb,Premier Liga,5.0
Alieu Fadera,22,Left Winger,The Gambia,2.5,KRC Genk,Jupiler Pro League,Como,Serie A,5.0
Ngal'ayel Mukau,19,Defensive Midfield,DR Congo,3.0,KV Mechelen,Jupiler Pro League,LOSC Lille,Ligue 1,5.0
Mory Gbane,24,Defensive Midfield,Cote d'Ivoire,2.5,Gil Vicente,Liga Portugal,Stade Reims,Ligue 1,5.0
Daniel Maldini,22,Attacking Midfield,Italy,4.5,AC Milan,Serie A,Monza,Serie A,5.0
Iker Almena,20,Right Winger,Spain,,Girona,LaLiga,Al-Qadsiah,Saudi Pro League,5.0
Joel Pohjanpalo,30,Centre-Forward,Finland,5.0,Venezia,Serie A,Palermo,Serie B,4.75
Gonzalo Montiel,28,Right-Back,Argentina,5.0,Sevilla FC,LaLiga,River Plate,Torneo Apertura,4.5
Suat Serdar,27,Central Midfield,Germany,5.0,Hertha BSC,2. Bundesliga,Hellas Verona,Serie A,4.5
Andrea Belotti,30,Centre-Forward,Italy,5.0,AS Roma,Serie A,Como,Serie A,4.5
Amankwah Forson,21,Central Midfield,Ghana,5.0,RB Salzburg,Bundesliga,Norwich,Championship,4.5
Rafael Navarro,24,Centre-Forward,Brazil,5.0,Palmeiras,Série A,Colorado,MLS,4.5
Gerónimo Rulli,32,Goalkeeper,Argentina,5.0,Ajax,Eredivisie,Marseille,Ligue 1,4.0
Jérémy Le Douaron,26,Centre-Forward,France,5.0,Stade Brestois,Ligue 1,Palermo,Serie B,4.0
Kamory Doumbia,21,Attacking Midfield,Mali,5.0,Stade Reims,Ligue 1,Stade Brestois,Ligue 1,4.0
Enzo Copetti,28,Centre-Forward,Argentina,5.0,Charlotte,MLS,Rosario Central,Liga Profesional (- 23/24),3.95
Monchu,24,Central Midfield,Spain,5.0,Real Valladolid,LaLiga,Aris Saloniki,Super League 1,3.6
Aboubakary Koita,25,Left Winger,Mauritania,5.0,Sint-Truiden,Jupiler Pro League,AEK Athens,Super League 1,3.6
Tomás Belmonte,26,Defensive Midfield,Argentina,5.0,Toluca,Liga MX Apertura,Boca Juniors,Liga Profesional (- 23/24),3.55
Romain Perraud,26,Left-Back,France,5.0,Southampton,Premier League,Real Betis,LaLiga,3.5
Hayao Kawabe,28,Central Midfield,Japan,5.0,Standard Liège,Jupiler Pro League,Sanf. Hiroshima,J1 League,3.5
Alexander Aravena,21,Left Winger,Chile,5.0,U. Católica,Liga Primera,Grêmio,Série A,3.2
Jan-Carlo Simić,19,Centre-Back,Serbia,5.0,AC Milan,Serie A,RSC Anderlecht,Jupiler Pro League,3.0
Leopold Querfeld,20,Centre-Back,Austria,5.0,Rapid Vienna,Bundesliga,Union Berlin,Bundesliga,3.0
László Bénes,26,Central Midfield,Slovakia,5.0,Hamburger SV,2. Bundesliga,Union Berlin,Bundesliga,3.0
Mathias Delorge,19,Central Midfield,Belgium,5.0,Sint-Truiden,Jupiler Pro League,KAA Gent,Jupiler Pro League,3.0
Hugo Siquet,22,Right-Back,Belgium,5.0,SC Freiburg,Bundesliga,Club Brugge,Jupiler Pro League,3.0
Alan Cervantes,26,Defensive Midfield,Mexico,5.0,Santos Laguna,Liga MX Apertura,América,Liga MX Apertura,3.0
Richard Sánchez,28,Central Midfield,Paraguay,5.0,América,Liga MX Apertura,Racing Club,Torneo Apertura,2.75
Jan Kuchta,27,Centre-Forward,Czech Republic,5.0,Sparta Prague,Chance Liga,FC Midtjylland,Superliga,2.7
Conan Ledesma,31,Goalkeeper,Argentina,5.0,Cádiz CF,LaLiga2,River Plate,Liga Profesional (- 23/24),2.6
Oleksandr Pikhalyonok,27,Central Midfield,Ukraine,5.0,SC Dnipro-1,Ukraine,Dynamo Kyiv,Premier Liga,2.5
Serdar Saatçı,21,Centre-Back,Türkiye,5.0,SC Braga,Liga Portugal,Trabzonspor,Süper Lig,2.5
Fabinho,22,Defensive Midfield,Brazil,5.0,Palmeiras,Série A,RB Bragantino,Série A,2.5
Luca Orellano,24,Right Winger,Argentina,5.0,Vasco da Gama,Série A,Cincinnati,MLS,2.5
Alhassan Yusuf,24,Central Midfield,Nigeria,5.0,Royal Antwerp,Jupiler Pro League,New England,MLS,2.3
Matte Smets,20,Centre-Back,Belgium,5.0,Sint-Truiden,Jupiler Pro League,KRC Genk,Jupiler Pro League,2.25
Jusuf Gazibegovic,24,Right-Back,Bosnia-Herzegovina,5.0,Sturm Graz,Bundesliga,1.FC Köln,2. Bundesliga,2.0
Leonidas Stergiou,22,Right-Back,Switzerland,5.0,FC St. Gallen,Super League,VfB Stuttgart,Bundesliga,2.0
Willian José,32,Centre-Forward,Brazil,5.0,Real Betis,LaLiga,Spartak Moscow,Premier Liga,2.0
Sam Lammers,27,Centre-Forward,Netherlands,5.0,Rangers,Premiership,Twente FC,Eredivisie,2.0
Toni Martínez,27,Centre-Forward,Spain,5.0,FC Porto,Liga Portugal,Alavés,LaLiga,2.0
Ivan Sergeev,29,Centre-Forward,Russia,5.0,Zenit S-Pb,Premier Liga,KS Samara,Premier Liga,2.0
José Paradela,26,Central Midfield,Argentina,5.0,River Plate,Torneo Apertura,Necaxa,Liga MX Apertura,1.92
Karol Swiderski,28,Centre-Forward,Poland,5.0,Charlotte,MLS,Panathinaikos,Super League 1,1.9
Juan Musso,30,Goalkeeper,Argentina,5.0,Atalanta BC,Serie A,Atlético Madrid,LaLiga,
Joselu,34,Centre-Forward,Spain,5.0,Espanyol,LaLiga,Real Madrid,LaLiga,1.5
Joselu,34,Centre-Forward,Spain,5.0,Real Madrid,LaLiga,Al-Gharafa,Stars League,1.5
Jesús Ferreira,24,Centre-Forward,United States,5.0,Dallas,MLS,Seattle,MLS,1.45
Romeo Amane,21,Central Midfield,Cote d'Ivoire,5.0,Häcken,Allsvenskan,Rapid Vienna,Bundesliga,1.3
Luke Cundle,22,Central Midfield,England,5.0,Wolves,Premier League,Millwall,Championship,1.2
Denis Vavro,28,Centre-Back,Slovakia,5.0,FC Copenhagen,Superliga,VfL Wolfsburg,Bundesliga,
Arthur Melo,28,Defensive Midfield,Brazil,5.0,Juventus,Serie A,Girona,LaLiga,
Lennard Maloney,25,Defensive Midfield,United States,5.0,Heidenheim,Bundesliga,1.FSV Mainz 05,Bundesliga,5.0
Rui Silva,30,Goalkeeper,Portugal,5.0,Real Betis,LaLiga,Sporting CP,Liga Portugal,
Donny van de Beek,27,Central Midfield,Netherlands,5.0,Man Utd,Premier League,Girona,LaLiga,5.0
Felipe Carballo,27,Central Midfield,Uruguay,5.0,Grêmio,Série A,New York,MLS,
Meschack Elia,27,Centre-Forward,DR Congo,5.0,BSC Young Boys,Super League,FC Nantes,Ligue 1,
Kacper Kozlowski,20,Attacking Midfield,Poland,5.0,Brighton,Premier League,Gaziantep FK,Süper Lig,2.0
Kevin Stöger,30,Attacking Midfield,Austria,5.0,VfL Bochum,Bundesliga,Bor. M'gladbach,Bundesliga,
Yannik Keitel,24,Defensive Midfield,Germany,5.0,SC Freiburg,Bundesliga,VfB Stuttgart,Bundesliga,
Dani de Wit,26,Attacking Midfield,Netherlands,5.0,AZ Alkmaar,Eredivisie,VfL Bochum,Bundesliga,
Myron Boadu,23,Centre-Forward,Netherlands,5.0,Monaco,Ligue 1,VfL Bochum,Bundesliga,
André Silva,29,Centre-Forward,Portugal,5.0,RB Leipzig,Bundesliga,Werder Bremen,Bundesliga,
Alex Král,26,Central Midfield,Czech Republic,5.0,Spartak Moscow,Premier Liga,Union Berlin,Bundesliga,
Malick Yalcouyé,18,Right Midfield,Mali,5.0,Brighton,Premier League,Sturm Graz,Bundesliga,
Leo Sauer,18,Left Winger,Slovakia,5.0,Feyenoord,Eredivisie,NAC Breda,Eredivisie,
Alessandro Zanoli,23,Right-Back,Italy,5.0,Napoli,Serie A,Genoa,Serie A,
Vladan Kovačević,26,Goalkeeper,Bosnia-Herzegovina,5.0,Sporting CP,Liga Portugal,Legia Warszawa,Ekstraklasa,
Casper Tengstedt,24,Centre-Forward,Denmark,5.0,Benfica,Liga Portugal,Hellas Verona,Serie A,
Domagoj Bradarić,24,Left-Back,Croatia,5.0,Salernitana,Serie B,Hellas Verona,Serie A,
Milos Lukovic,19,Centre-Forward,Serbia,5.0,R. Strasbourg,Ligue 1,Heerenveen,Eredivisie,
Harry Clarke,23,Right-Back,England,5.0,Ipswich,Premier League,Sheff Utd,Championship,
Alfie Gilchrist,20,Right-Back,England,5.0,Chelsea,Premier League,Sheff Utd,Championship,
Zinho Vanheusden,24,Centre-Back,Belgium,5.0,Inter,Serie A,KV Mechelen,Jupiler Pro League,
Augusto Batalla,28,Goalkeeper,Argentina,5.0,River Plate,Liga Profesional (- 23/24),Rayo Vallecano,LaLiga,
James Rodríguez,33,Attacking Midfield,Colombia,5.0,São Paulo,Série A,Rayo Vallecano,LaLiga,
Rick Karsdorp,29,Right-Back,Netherlands,5.0,AS Roma,Serie A,PSV Eindhoven,Eredivisie,
John Lundstram,30,Defensive Midfield,England,5.0,Rangers,Premiership,Trabzonspor,Süper Lig,
Aaron Boupendza,28,Centre-Forward,Gabon,5.0,Cincinnati,MLS,FC Rapid,SuperLiga,
Emil Audero,28,Goalkeeper,Indonesia,5.0,Como,Serie A,Palermo,Serie B,
Sivert Mannsverk,22,Defensive Midfield,Norway,5.0,Ajax,Eredivisie,Cardiff,Championship,
Matheus,32,Goalkeeper,Brazil,5.0,SC Braga,Liga Portugal,Ajax,Eredivisie,
Andoni Gorosabel,27,Right-Back,Spain,5.0,Alavés,LaLiga,Athletic,LaLiga,
Kelechi Iheanacho,28,Centre-Forward,Nigeria,5.0,Sevilla FC,LaLiga,Middlesbrough,Championship,
Caleb Wiley,19,Left-Back,United States,5.0,Chelsea,Premier League,R. Strasbourg,Ligue 1,
Marko Stamenic,22,Defensive Midfield,New Zealand,5.0,Nottm Forest,Premier League,Olympiacos,Super League 1,
Alex Král,26,Central Midfield,Czech Republic,5.0,Union Berlin,Bundesliga,Espanyol,LaLiga,
Sebastiano Esposito,22,Second Striker,Italy,5.0,Inter,Serie A,FC Empoli,Serie A,
Mattia Viti,22,Centre-Back,Italy,5.0,OGC Nice,Ligue 1,FC Empoli,Serie A,
Borja Iglesias,31,Centre-Forward,Spain,5.0,Real Betis,LaLiga,Celta de Vigo,LaLiga,
Bamo Meïté,23,Centre-Back,Cote d'Ivoire,5.0,Marseille,Ligue 1,Montpellier,Ligue 1,
Mason Holgate,27,Centre-Back,Jamaica,5.0,Everton,Premier League,West Brom,Championship,
Bobby De Cordova-Reid,31,Right Winger,Jamaica,5.0,Fulham,Premier League,Leicester,Premier League,
James Beadle,19,Goalkeeper,England,5.0,Brighton U21,Premier League 2,Sheff Wed,Championship,
Umar Sadiq,27,Centre-Forward,Nigeria,5.0,Real Sociedad,LaLiga,Valencia,LaLiga,
Matheus Nascimento,20,Centre-Forward,Brazil,5.0,Botafogo,Série A,LA Galaxy,MLS,
Marco Reus,35,Attacking Midfield,Germany,5.0,Bor. Dortmund,Bundesliga,LA Galaxy,MLS,
Rafik Guitane,25,Right Winger,Algeria,5.0,Estoril Praia,Liga Portugal,SC Braga,Liga Portugal,
Luka Romero,19,Right Winger,Argentina,5.0,AC Milan,Serie A,Alavés,LaLiga,
Renato Tapia,29,Defensive Midfield,Peru,5.0,Celta de Vigo,LaLiga,CD Leganés,LaLiga,
Aurélio Buta,27,Right-Back,Portugal,5.0,E. Frankfurt,Bundesliga,Stade Reims,Ligue 1,
Victor Hugo,20,Attacking Midfield,Brazil,5.0,Flamengo,Série A,Göztepe,Süper Lig,
Iker Muniain,31,Attacking Midfield,Spain,5.0,Athletic,LaLiga,San Lorenzo,Liga Profesional (- 23/24),
Bruno Méndez,24,Centre-Back,Uruguay,5.0,Granada CF,LaLiga2,Toluca,Liga MX Apertura,
Lewis O'Brien,26,Central Midfield,England,5.0,Nottm Forest,Premier League,Swansea,Championship,
Federico Viñas,26,Centre-Forward,Uruguay,5.0,León,Liga MX Apertura,Real Oviedo,LaLiga2,
Gaetano Castrovilli,27,Central Midfield,Italy,5.0,Lazio,Serie A,Monza,Serie A,
Connor Goldson,31,Centre-Back,England,5.0,Rangers,Premiership,Aris Limassol,Cyprus League,
Nahitan Nández,28,Central Midfield,Uruguay,5.0,Cagliari,Serie A,Al-Qadsiah,Saudi Pro League,
Hakim Ziyech,31,Right Winger,Morocco,5.0,Galatasaray,Süper Lig,Al-Duhail SC,Stars League,
Tarik Tissoudali,31,Centre-Forward,Morocco,5.0,PAOK Salonika,Super League 1,Khor Fakkan,UAE Pro League,
Matías Vargas,27,Left Winger,Argentina,5.0,SH Port,Super League,Al-Fateh,Saudi Pro League,
Lewis O'Brien,25,Central Midfield,England,5.0,Nottm Forest,Premier League,LAFC,MLS,
Yaimar Medina,20,Left-Back,Ecuador,3.5,Independiente,LigaPro Serie A,KRC Genk,Jupiler Pro League,4.85
Sondre Langås,24,Centre-Back,Norway,2.3,Viking,Eliteserien,Derby,Championship,4.8
Giovanni Leoni,17,Centre-Back,Italy,4.5,Sampdoria,Serie B,Parma,Serie A,4.8
Micael,24,Centre-Back,Brazil,1.0,Houston,MLS,Palmeiras,Série A,4.8
Lucas Sanabria,21,Defensive Midfield,Uruguay,3.0,Nacional,Liga AUF Apertura,LA Galaxy,MLS,4.8
Marco Pašalić,24,Right Winger,Croatia,4.0,HNK Rijeka,SuperSport HNL,Orlando,MLS,4.8
Matteo Cancellieri,22,Right Winger,Italy,4.8,Lazio,Serie A,Parma,Serie A,
Bashir Humphreys,21,Left-Back,England,4.8,Chelsea,Premier League,Burnley,Championship,
Skelly Alvero,22,Defensive Midfield,France,4.0,Olympique Lyon,Ligue 1,Werder Bremen,Bundesliga,4.75
Sebastian Walukiewicz,24,Centre-Back,Poland,2.5,FC Empoli,Serie A,Torino,Serie A,4.7
Jesús Gallardo,29,Left-Back,Mexico,4.0,Monterrey,Liga MX Apertura,Toluca,Liga MX Apertura,4.7
Charlie Hughes,20,Centre-Back,England,6.0,Wigan,League One,Hull City,Championship,4.7
Enis Bardhi,29,Attacking Midfield,North Macedonia,4.7,Trabzonspor,Süper Lig,Bodrum FK,Süper Lig,
Carlos Palacios,24,Attacking Midfield,Chile,3.0,Colo-Colo,Liga Primera,Boca Juniors,Torneo Apertura,4.57
Mark McGuinness,23,Centre-Back,Ireland,4.5,Cardiff,Championship,Luton,Championship,11.7
Agustín Canobbio,26,Left Winger,Uruguay,4.5,Athletico-PR,Série B,Fluminense,Série A,6.0
Jurgen Ekkelenkamp,24,Central Midfield,Netherlands,4.5,Royal Antwerp,Jupiler Pro League,Udinese,Serie A,5.35
Ryan Giles,24,Left-Back,England,4.5,Luton,Championship,Hull City,Championship,5.3
Bénie Traoré,21,Left Winger,Cote d'Ivoire,4.0,Sheff Utd,Championship,FC Basel,Super League,4.5
Marin Ljubicic,22,Centre-Forward,Croatia,4.0,LASK,Bundesliga,Union Berlin,Bundesliga,4.5
Germán Pezzella,33,Centre-Back,Argentina,3.0,Real Betis,LaLiga,River Plate,Liga Profesional (- 23/24),4.5
Lyanco,27,Centre-Back,Brazil,3.0,Southampton,Premier League,Atlético-MG,Série A,4.5
Fausto Vera,24,Defensive Midfield,Argentina,4.5,Corinthians,Série A,Atlético-MG,Série A,4.5
Charlie Cresswell,21,Centre-Back,England,4.0,Leeds,Championship,Toulouse,Ligue 1,4.5
