PlayerName,Post,Age,MarketValue,Nationality,Left,Current_team,Fee
Kerem Aktürkoğlu,Left Winger,25,15.00m,Türkiye,Galatasaray,SL Benfica,12.00m
Gastón Álvarez,Centre-Back,24,15.00m,Uruguay,Getafe CF,Al-Qadsiah FC,12.00m
Morato,Centre-Back,23,15.00m,Brazil,SL Benfica,Nottingham Forest,11.00m
Luka Sucic,Central Midfield,21,15.00m,Croatia,Red Bull Salzburg,Real Sociedad,10.00m
Chadi Riad,Centre-Back,21,15.00m,Morocco,FC Barcelona,Real Betis Balompié,9.00m
Niklas Beste,Left Winger,25,15.00m,Germany,1.FC Heidenheim 1846,SL Benfica,8.00m
Roland Sallai,Right Winger,27,15.00m,Hungary,SC Freiburg,Galatasaray,6.00m
Jordan Veretout,Central Midfield,31,15.00m,France,Olympique Marseille,Olympique Lyon,4.00m
Carney Chukwuemeka,Central Midfield,21,15.00m,England,Chelsea FC,Borussia Dortmund,Loan fee:2.40m
Andrea Pinamonti,Centre-Forward,25,15.00m,Italy,US Sassuolo,Genoa CFC,Loan fee:2.00m
Amar Dedic,Right-Back,22,15.00m,Bosnia-Herzegovina,Red Bull Salzburg,Olympique Marseille,1.50m
Yacine Adli,Defensive Midfield,24,15.00m,France,AC Milan,ACF Fiorentina,Loan fee:1.50m
Noah Okafor,Left Winger,24,15.00m,Switzerland,AC Milan,SSC Napoli,Loan fee:1.50m
