PlayerName,Post,Age,MarketValue,Nationality,Left,Current_team,Fee
Alexander Lind,Centre-Forward,22,3.00m,Denmark,Silkeborg IF,Pisa Sporting Club,0
Fidel Barajas,Right Winger,18,2.00m,Mexico,Real Salt Lake City,Deportivo Guadalajara,0
Rubén Duarte,Left-Back,28,3.00m,Spain,Deportivo Alavés,UNAM Pumas,0
Giovanni González,Right-Back,29,3.00m,Uruguay,RCD Mallorca,FC Krasnodar,0
Igor Jesus,Defensive Midfield,21,2.00m,Brazil,CF Estrela Amadora,Los Angeles FC,0
Ahmed Qasem,Right Winger,21,3.00m,Sweden,IF Elfsborg,Nashville SC,0
Diber Cambindo,Centre-Forward,28,4.00m,Colombia,CD Cruz Azul,Club Necaxa,3.90m
Omar Campos,Left-Back,22,4.00m,Mexico,Los Angeles FC,CD Cruz Azul,3.80m
Eren Elmalı,Left-Back,24,4.00m,Türkiye,Trabzonspor,Galatasaray,3.50m
Couhaib Driouech,Left Winger,22,4.00m,Morocco,Excelsior Rotterdam,PSV Eindhoven,3.50m
Jonathan Bamba,Left Winger,28,4.00m,Cote d'Ivoire,Celta de Vigo,Chicago Fire FC,3.50m
Niklas Dorsch,Defensive Midfield,26,4.00m,Germany,FC Augsburg,1.FC Heidenheim 1846,3.50m
Alejandro Francés,Right-Back,21,4.00m,Spain,Real Zaragoza,Girona FC,3.50m
Sverrir Ingi Ingason,Centre-Back,30,4.00m,Iceland,FC Midtjylland,Panathinaikos FC,3.08m
Lucas Hey,Centre-Back,21,4.00m,Denmark,FC Nordsjaelland,RSC Anderlecht,3.00m
Ramón Miérez,Centre-Forward,27,4.00m,Argentina,NK Osijek,Al-Jazira Club,3.00m
Juan Barinaga,Right-Back,23,4.00m,Argentina,Club Atlético Belgrano,CA Boca Juniors,2.85m
Nicolás Acevedo,Defensive Midfield,25,4.00m,Uruguay,New York City FC,Esporte Clube Bahia,2.85m
Saud Abdulhamid,Right-Back,25,4.00m,Saudi Arabia,Al-Hilal SFC,AS Roma,2.50m
Zé Rafael,Central Midfield,31,4.00m,Brazil,Sociedade Esportiva Palmeiras,Santos FC,2.50m
John Tolkin,Left-Back,22,4.00m,United States,New York Red Bulls,Holstein Kiel,2.50m
Costinha,Right-Back,24,4.00m,Portugal,Rio Ave FC,Olympiacos Piraeus,2.50m
Mattia Zanotti,Right-Back,21,4.00m,Italy,Inter Milan,FC Lugano,2.50m
Kelvin Yeboah,Centre-Forward,24,4.00m,Italy,Genoa CFC,Minnesota United FC,2.50m
Dante Vanzeir,Centre-Forward,26,4.00m,Belgium,New York Red Bulls,KAA Gent,2.35m
Jean Butez,Goalkeeper,29,4.00m,France,Royal Antwerp FC,Como 1907,2.10m
Ciro Immobile,Centre-Forward,34,4.00m,Italy,SS Lazio,Besiktas JK,2.00m
Jadsom,Defensive Midfield,23,4.00m,Brazil,Red Bull Bragantino,Al-Wahda FC,2.00m
Ricardo Mangas,Left-Back,26,4.00m,Portugal,Vitória Guimarães SC,Spartak Moscow,2.00m
Pedro Malheiro,Right-Back,23,4.00m,Portugal,Boavista FC,Trabzonspor,2.00m
Igor Lichnovsky,Centre-Back,30,4.00m,Chile,Tigres UANL,CF América,2.00m
Maximiliano Meza,Right Winger,31,4.00m,Argentina,CF Monterrey,CA River Plate,1.80m
Denis Drăguș,Centre-Forward,24,4.00m,Romania,Standard Liège,Trabzonspor,1.70m
Shamar Nicholson,Centre-Forward,27,4.00m,Jamaica,Spartak Moscow,Club Tijuana,1.60m
Armindo Sieb,Second Striker,21,4.00m,Germany,SpVgg Greuther Fürth,Bayern Munich,1.50m
Samed Bazdar,Centre-Forward,20,4.00m,Bosnia-Herzegovina,FK Partizan Belgrade,Real Zaragoza,1.50m
Eros Mancuso,Right-Back,25,4.00m,Argentina,Club Estudiantes de La Plata,Fortaleza Esporte Clube,1.47m
Otávio,Defensive Midfield,30,4.00m,Brazil,Clube Atlético Mineiro,Fluminense Football Club,1.37m
Sasa Zdjelar,Defensive Midfield,29,4.00m,Serbia,CSKA Moscow,Zenit St. Petersburg,1.30m
Christopher Operi,Left-Back,27,4.00m,Cote d'Ivoire,Le Havre AC,Basaksehir FK,1.30m
Luis Rioja,Left Winger,30,4.00m,Spain,Deportivo Alavés,Valencia CF,1.20m
Armindo Sieb,Second Striker,21,4.00m,Germany,Bayern Munich,1.FSV Mainz 05,Loan fee:1.00m
Marcos Acuña,Left-Back,32,4.00m,Argentina,Sevilla FC,CA River Plate,1.00m
Stoichkov,Second Striker,30,4.00m,Spain,SD Eibar,Deportivo Alavés,1.00m
Álex Sola,Right Winger,25,4.00m,Spain,Real Sociedad,Getafe CF,1.00m
Óscar Estupiñán,Centre-Forward,27,4.00m,Colombia,Hull City,FC Juárez,1.00m
Jackson Muleka,Centre-Forward,24,4.00m,DR Congo,Besiktas JK,Al-Kholood Club,Loan fee:1.00m
Léo,Centre-Forward,27,4.00m,Brazil,Shandong Taishan,Shanghai Port,875k
Jarne Steuckers,Right Winger,22,4.00m,Belgium,Sint-Truidense VV,KRC Genk,800k
Wilson Isidor,Centre-Forward,23,4.00m,France,Zenit St. Petersburg,Sunderland AFC,Loan fee:750k
Dimitri Lavalée,Left-Back,27,4.00m,Belgium,KV Mechelen,SK Sturm Graz,700k
Samuel Dahl,Left-Back,21,4.00m,Sweden,AS Roma,SL Benfica,Loan fee:600k
Wilfried Kanga,Centre-Forward,26,4.00m,Cote d'Ivoire,Hertha BSC,Cardiff City,Loan fee:500k
Roberto Piccoli,Centre-Forward,23,4.00m,Italy,Atalanta BC,Cagliari Calcio,Loan fee:500k
Dion Beljo,Centre-Forward,22,4.00m,Croatia,FC Augsburg,Rapid Vienna,Loan fee:300k
Santiago Longo,Defensive Midfield,26,4.00m,Argentina,Club Atlético Belgrano,São Paulo Futebol Clube,Loan fee:271k
Tom Krauß,Central Midfield,23,4.00m,Germany,1.FSV Mainz 05,Luton Town,Loan fee:250k
Marcos Antônio,Central Midfield,24,4.00m,Brazil,SS Lazio,São Paulo Futebol Clube,Loan fee:150k
Matteo Lovato,Centre-Back,24,4.00m,Italy,US Salernitana 1919,US Sassuolo,Loan fee:150k
Adryelson,Centre-Back,26,4.00m,Brazil,Olympique Lyon,RSC Anderlecht,loan transfer
Ludwig Augustinsson,Left-Back,30,4.00m,Sweden,Sevilla FC,RSC Anderlecht,free transfer
Nick Woltemade,Second Striker,22,4.00m,Germany,SV Werder Bremen,VfB Stuttgart,free transfer
Tom Krauß,Central Midfield,23,4.00m,Germany,1.FSV Mainz 05,VfL Bochum,loan transfer
Marco Grüll,Left Winger,25,4.00m,Austria,Rapid Vienna,SV Werder Bremen,free transfer
Cher Ndour,Central Midfield,20,4.00m,Italy,Paris Saint-Germain,Besiktas JK,loan transfer
João Mário,Left Winger,31,4.00m,Portugal,SL Benfica,Besiktas JK,loan transfer
Emmanuel Dennis,Centre-Forward,27,4.00m,Nigeria,Nottingham Forest,Blackburn Rovers,loan transfer
Cédric Zesiger,Centre-Back,26,4.00m,Switzerland,VfL Wolfsburg,FC Augsburg,loan transfer
Jan Kuchta,Centre-Forward,28,4.00m,Czech Republic,FC Midtjylland,AC Sparta Prague,loan transfer
Matías Rojas,Attacking Midfield,29,4.00m,Paraguay,Inter Miami CF,CA River Plate,free transfer
Zé Ivaldo,Centre-Back,27,4.00m,Brazil,Cruzeiro Esporte Clube,Santos FC,loan transfer
Takuma Asano,Right Winger,29,4.00m,Japan,VfL Bochum,RCD Mallorca,free transfer
Pierluigi Gollini,Goalkeeper,29,4.00m,Italy,Atalanta BC,Genoa CFC,loan transfer
Amin Sarr,Centre-Forward,23,4.00m,Sweden,Olympique Lyon,Hellas Verona,loan transfer
Sinaly Diomandé,Centre-Back,23,4.00m,Cote d'Ivoire,Olympique Lyon,AJ Auxerre,free transfer
Gabriel Slonina,Goalkeeper,20,4.00m,United States,Chelsea FC,Barnsley FC,loan transfer
Eray Cömert,Centre-Back,26,4.00m,Switzerland,Valencia CF,Real Valladolid CF,loan transfer
Cenk Özkacar,Centre-Back,23,4.00m,Türkiye,Valencia CF,Real Valladolid CF,loan transfer
Arijon Ibrahimovic,Attacking Midfield,19,4.00m,Germany,Bayern Munich,SS Lazio,loan transfer
Stipe Biuk,Left Winger,21,4.00m,Croatia,Real Valladolid CF,HNK Hajduk Split,loan transfer
Kristian Hlynsson,Attacking Midfield,21,4.00m,Iceland,Ajax Amsterdam,Sparta Rotterdam,loan transfer
Philip Zinckernagel,Left Winger,29,4.00m,Denmark,Club Brugge KV,FK Bodø/Glimt,loan transfer
Josh Wilson-Esbrand,Left-Back,22,4.00m,England,Manchester City,Stoke City,loan transfer
Tom Cannon,Centre-Forward,21,4.00m,Ireland,Leicester City,Stoke City,loan transfer
Oscar,Attacking Midfield,33,4.00m,Brazil,Shanghai Port,São Paulo Futebol Clube,free transfer
Calum Chambers,Centre-Back,29,4.00m,England,Aston Villa,Cardiff City,free transfer
Alfred Duncan,Central Midfield,31,4.00m,Ghana,ACF Fiorentina,Venezia FC,free transfer
Daniele Rugani,Centre-Back,30,4.00m,Italy,Juventus FC,Ajax Amsterdam,loan transfer
Danilo,Centre-Back,33,4.00m,Brazil,Juventus FC,CR Flamengo,free transfer
Mihajlo Ilic,Centre-Back,21,4.00m,Serbia,Bologna FC 1909,FK Partizan Belgrade,loan transfer
Malang Sarr,Centre-Back,25,4.00m,France,Chelsea FC,RC Lens,free transfer
Kevin Mbabu,Right-Back,29,4.00m,Switzerland,Fulham FC,FC Midtjylland,free transfer
Frédéric Guilbert,Right-Back,29,4.00m,France,RC Strasbourg Alsace,US Lecce,free transfer
Reuell Walters,Right-Back,19,4.00m,England,Arsenal FC U21,Luton Town,free transfer
Koki Saito,Left Winger,23,4.00m,Japan,Lommel SK,Queens Park Rangers,loan transfer
Luca Mazzitelli,Central Midfield,28,4.00m,Italy,Frosinone Calcio,Como 1907,loan transfer
Stole Dimitrievski,Goalkeeper,30,4.00m,North Macedonia,Rayo Vallecano,Valencia CF,free transfer
Juan Bernat,Left-Back,31,4.00m,Spain,Paris Saint-Germain,Villarreal CF,loan transfer
Calvin Ramsay,Right-Back,20,4.00m,Scotland,Liverpool FC,Wigan Athletic,loan transfer
Shola Shoretire,Left Winger,20,4.00m,England,Manchester United U21,PAOK Thessaloniki,free transfer
Mohamed Bayo,Centre-Forward,26,4.00m,Guinea,LOSC Lille,Royal Antwerp FC,loan transfer
Dennis Praet,Central Midfield,30,4.00m,Belgium,Leicester City,Royal Antwerp FC,free transfer
Valentin Rosier,Right-Back,27,4.00m,France,Besiktas JK,CD Leganés,free transfer
Bamba Dieng,Centre-Forward,24,4.00m,Senegal,FC Lorient,Angers SCO,loan transfer
Sydney van Hooijdonk,Centre-Forward,24,4.00m,Netherlands,Bologna FC 1909,Cesena FC,free transfer
David Affengruber,Centre-Back,23,4.00m,Austria,SK Sturm Graz,Elche CF,free transfer
Hugo,Left-Back,23,4.00m,Brazil,Botafogo de Futebol e Regatas,Esporte Clube Vitória,loan transfer
Hannes Delcroix,Centre-Back,25,4.00m,Belgium,Burnley FC,Swansea City,loan transfer
Riechedly Bazoer,Centre-Back,27,4.00m,Curacao,AZ Alkmaar,Konyaspor,?
Sékou Koïta,Centre-Forward,24,4.00m,Mali,Red Bull Salzburg,CSKA Moscow,free transfer
Lincoln,Attacking Midfield,26,4.00m,Brazil,Fenerbahce,Hull City,loan transfer
Nico Melamed,Attacking Midfield,23,4.00m,Spain,RCD Espanyol Barcelona,UD Almería,free transfer
Calegari,Right-Back,22,4.00m,Brazil,Fluminense Football Club,FC Famalicão,loan transfer
Juanmi,Left Winger,31,4.00m,Spain,Real Betis Balompié,Getafe CF,loan transfer
Ibrahim Salah,Left Winger,23,4.00m,Morocco,Stade Rennais FC,Stade Brestois 29,loan transfer
Ricardo Gomes,Centre-Forward,33,4.00m,Cape Verde,Al-Wakrah SC,Al-Khor SC,loan transfer
Leonardo Spinazzola,Left-Back,31,4.00m,Italy,AS Roma,SSC Napoli,free transfer
Miguel Crespo,Central Midfield,27,4.00m,Portugal,Fenerbahce,Basaksehir FK,free transfer
Alfredo Morelos,Centre-Forward,28,4.00m,Colombia,Santos FC,Atlético Nacional,loan transfer
Paul Arriola,Right Winger,29,4.00m,United States,FC Dallas,Seattle Sounders FC,?
Iago,Left-Back,27,4.00m,Brazil,FC Augsburg,Esporte Clube Bahia,free transfer
Gastón Ávila,Centre-Back,23,4.00m,Argentina,Ajax Amsterdam,Fortaleza Esporte Clube,loan transfer
Biro,Right Winger,20,4.00m,Brazil,Sport Club Corinthians Paulista,Sharjah FC,loan transfer
João Pedro,Centre-Forward,31,4.00m,Brazil,Al-Taawoun FC,Al-Wasl FC,free transfer
Joel Ndala,Left Winger,18,4.00m,England,Manchester City U21,Nottingham Forest U21,loan transfer
Marcel Hartel,Central Midfield,28,4.00m,Germany,FC St. Pauli,St. Louis CITY SC,free transfer
Cacá,Centre-Back,25,3.00m,Brazil,Tokushima Vortis,Sport Club Corinthians Paulista,0
Ahmed Al-Ghamdi,Left Winger,23,600k,Saudi Arabia,Al-Ittihad Club,NEOM SC,0
Ronnie Edwards,Centre-Back,21,3.80m,England,Peterborough United,Southampton FC,3.50m
Nathan Wood,Centre-Back,22,3.80m,England,Swansea City,Southampton FC,3.50m
Luke McNally,Centre-Back,24,3.80m,Ireland,Burnley FC,Bristol City,1.75m
Yusuf Sarı,Right Winger,26,3.80m,Türkiye,Adana Demirspor,Basaksehir FK,1.00m
Ronnie Edwards,Centre-Back,21,3.80m,England,Southampton FC,Queens Park Rangers,loan transfer
Tozé,Attacking Midfield,31,3.80m,Portugal,Al-Hazem SC,Al-Riyadh SC,free transfer
Scott Twine,Attacking Midfield,25,3.00m,England,Burnley FC,Bristol City,0
Frankie Amaya,Central Midfield,23,2.50m,United States,New York Red Bulls,Deportivo Toluca,0
Aidan Morris,Central Midfield,22,3.00m,United States,Columbus Crew,Middlesbrough FC,0
Andrés Montaño,Central Midfield,22,2.30m,Mexico,Mazatlán FC,CD Cruz Azul,0
Milton Giménez,Centre-Forward,27,1.80m,Argentina,CA Banfield,CA Boca Juniors,0
Kaick,Defensive Midfield,19,-,Brazil,Grêmio FBPA U20,FC Dallas,0
Rômulo,Centre-Forward,22,3.70m,Brazil,Club Athletico Paranaense,Göztepe,2.50m
Taxiarchis Fountas,Second Striker,28,3.70m,Greece,Trabzonspor,OFI Crete FC,free transfer
Georgios Kyriakopoulos,Left Midfield,28,3.50m,Greece,US Sassuolo,AC Monza,0
Muhanad Al-Saad,Right Winger,21,75k,Saudi Arabia,Al-Ettifaq FC,NEOM SC,0
José Córdoba,Centre-Back,23,3.50m,Panama,Levski Sofia,Norwich City,0
Mateo Sanabria,Left Winger,20,600k,Argentina,CA Lanús,Al-Ain FC,0
Thelo Aasgaard,Attacking Midfield,22,1.00m,Norway,Wigan Athletic,Luton Town,0
Lasse Nordås,Centre-Forward,22,1.50m,Norway,Tromsø IL,Luton Town,0
Manu García,Attacking Midfield,27,3.00m,Spain,Aris Thessaloniki,Sporting Kansas City,0
Laurs Skjellerup,Centre-Forward,22,700k,Denmark,IFK Göteborg,US Sassuolo,0
Juninho Bacuna,Central Midfield,27,3.60m,Curacao,Birmingham City,Al-Wehda FC,?
Harrison Burrows,Left-Back,22,3.20m,England,Peterborough United,Sheffield United,0
Jay Stansfield,Centre-Forward,21,3.50m,England,Fulham FC,Birmingham City,0
Adam Idah,Centre-Forward,23,3.50m,Ireland,Norwich City,Celtic FC,0
Gennaro Borrelli,Centre-Forward,24,1.40m,Italy,Frosinone Calcio,Brescia Calcio,0
Divine Teah,Central Midfield,18,3.00m,Liberia,Hammarby IF,SK Slavia Prague,0
Philip Otele,Left Winger,25,2.50m,Nigeria,CFR Cluj,Al-Wahda FC,0
Anis Hadj Moussa,Right Winger,22,2.00m,Algeria,Patro Eisden Maasmechelen,Feyenoord Rotterdam,0
Mikael Egill Ellertsson,Central Midfield,22,2.80m,Iceland,Venezia FC,Genoa CFC,0
Fally Mayulu,Centre-Forward,21,2.00m,France,Rapid Vienna,Bristol City,0
Dani Silva,Defensive Midfield,24,1.50m,Portugal,Hellas Verona,FC Midtjylland,0
Nuno Moreira,Left Winger,25,1.50m,Portugal,Casa Pia AC,Clube de Regatas Vasco da Gama,0
Mikey Johnston,Left Winger,25,3.00m,Ireland,Celtic FC,West Bromwich Albion,0
Camiel Neghli,Right Winger,23,1.30m,Algeria,Sparta Rotterdam,Millwall FC,0
João Marques,Left Winger,22,3.50m,Portugal,GD Estoril Praia,SC Braga,0
Amine El Ouazzani,Centre-Forward,22,2.00m,Morocco,EA Guingamp,SC Braga,0
Sebastiano Luperto,Centre-Back,27,3.50m,Italy,FC Empoli,Cagliari Calcio,0
Liam Millar,Left Winger,24,2.20m,Canada,FC Basel 1893,Hull City,0
Idan Toklomati,Centre-Forward,20,1.60m,Israel,Maccabi Petah Tikva,Crown Legacy FC,0
Luka Romero,Right Winger,20,3.50m,Argentina,AC Milan,CD Cruz Azul,3.30m
Paulo Bernardo,Central Midfield,22,3.50m,Portugal,SL Benfica,Celtic FC,3.00m
Esmir Bajraktarević,Right Winger,19,3.50m,Bosnia-Herzegovina,New England Revolution,PSV Eindhoven,3.00m
Jorge Sánchez,Right-Back,26,3.50m,Mexico,Ajax Amsterdam,CD Cruz Azul,3.00m
Christian Rivera,Defensive Midfield,29,3.50m,Colombia,Club Tijuana,Sport Club do Recife,2.90m
Damián García,Defensive Midfield,21,3.50m,Uruguay,CA Peñarol,Shabab Al-Ahli Club,2.90m
Unai Bilbao,Centre-Back,30,3.50m,Spain,Atlético de San Luis,Club Tijuana,2.80m
Benjamin Tahirović,Defensive Midfield,21,3.50m,Bosnia-Herzegovina,Ajax Amsterdam,Bröndby IF,2.75m
Hans Hateboer,Right-Back,30,3.50m,Netherlands,Atalanta BC,Stade Rennais FC,2.70m
Gennaro Tutino,Centre-Forward,27,3.50m,Italy,Parma Calcio 1913,Cosenza Calcio,2.50m
Leonardo Campana,Centre-Forward,24,3.50m,Ecuador,Inter Miami CF,New England Revolution,2.40m
Ondrej Lingr,Attacking Midfield,25,3.50m,Czech Republic,Feyenoord Rotterdam,SK Slavia Prague,2.20m
Ísak Jóhannesson,Central Midfield,21,3.50m,Iceland,FC Copenhagen,Fortuna Düsseldorf,2.00m
Mateo Pellegrino,Centre-Forward,23,3.50m,Argentina,CA Vélez Sarsfield,Parma Calcio 1913,2.00m
Aleksandar Cirkovic,Left Winger,23,3.50m,Serbia,FK TSC Backa Topola,Ferencvárosi TC,2.00m
Cihan Çanak,Right Winger,19,3.50m,Türkiye,Standard Liège,Trabzonspor,2.00m
Sead Haksabanovic,Left Winger,25,3.50m,Montenegro,Celtic FC,Malmö FF,2.00m
Iván Leguizamón,Right Winger,22,3.50m,Paraguay,CA San Lorenzo de Almagro,Olimpia Asunción,2.00m
Roman Yaremchuk,Centre-Forward,28,3.50m,Ukraine,Club Brugge KV,Olympiacos Piraeus,2.00m
Marco Brescianini,Central Midfield,24,3.50m,Italy,Frosinone Calcio,Atalanta BC,Loan fee:2.00m
Veldin Hodza,Defensive Midfield,21,3.50m,Croatia,HNK Rijeka,Rubin Kazan,2.00m
Nicolás Romero,Centre-Back,21,3.50m,Argentina,Club Atlético Tucumán,Minnesota United FC,1.95m
Rodrigo Atencio,Right Winger,22,3.50m,Argentina,CA Independiente,Sport Club do Recife,1.90m
Pablo Marí,Centre-Back,31,3.50m,Spain,AC Monza,ACF Fiorentina,1.80m
Lassana Coulibaly,Central Midfield,28,3.50m,Mali,US Salernitana 1919,US Lecce,1.80m
Michael Baidoo,Attacking Midfield,25,3.50m,Ghana,IF Elfsborg,Plymouth Argyle,1.75m
Wilfried Kanga,Centre-Forward,26,3.50m,Cote d'Ivoire,Hertha BSC,GNK Dinamo Zagreb,1.70m
Philippe Rommens,Central Midfield,26,3.50m,Belgium,Go Ahead Eagles,Ferencvárosi TC,1.50m
Dominik Marczuk,Right Winger,20,3.50m,Poland,Jagiellonia Bialystok,Real Salt Lake City,1.50m
Taulant Seferi,Centre-Forward,27,3.50m,Albania,Vorskla Poltava,Bodrum FK,1.50m
Edvin Kurtulus,Centre-Back,24,3.50m,Sweden,Hammarby IF,Ludogorets Razgrad,1.45m
Mario Mitaj,Left-Back,21,3.50m,Albania,Lokomotiv Moscow,Al-Ittihad Club,Loan fee:1.20m
Gennaro Tutino,Centre-Forward,27,3.50m,Italy,Cosenza Calcio,UC Sampdoria,Loan fee:1.00m
Fábio Cardoso,Centre-Back,30,3.50m,Portugal,FC Porto,Al-Ain FC,Loan fee:1.00m
Mathieu Choinière,Central Midfield,25,3.50m,Canada,CF Montréal,Grasshopper Club Zurich,900k
Myron van Brederode,Left Winger,21,3.50m,Netherlands,AZ Alkmaar,Fortuna Düsseldorf,Loan fee:700k
Woo-yeong Jeong,Attacking Midfield,24,3.50m,"Korea, South",VfB Stuttgart,1.FC Union Berlin,Loan fee:700k
Aliou Dieng,Defensive Midfield,26,3.50m,Mali,Al Ahly FC,Al-Kholood Club,Loan fee:505k
Gabriel Vidovic,Second Striker,20,3.50m,Croatia,Bayern Munich,1.FSV Mainz 05,Loan fee:500k
Matías Abaldo,Right Winger,20,3.50m,Uruguay,Defensor Sporting Club,Club de Gimnasia y Esgrima La Plata,460k
DeJuan Jones,Left-Back,27,3.50m,United States,Columbus Crew,San Jose Earthquakes,370k
Achraf Bencharki,Left Winger,30,3.50m,Morocco,Al-Rayyan SC,Al Ahly FC,free transfer
Mathew Ryan,Goalkeeper,32,3.50m,Australia,AZ Alkmaar,AS Roma,free transfer
Jerry Yates,Centre-Forward,27,3.50m,England,Swansea City,Derby County,loan transfer
Nat Phillips,Centre-Back,27,3.50m,England,Liverpool FC,Derby County,loan transfer
Noah Weißhaupt,Left Winger,23,3.50m,Germany,SC Freiburg,FC St. Pauli,loan transfer
Ivo Grbic,Goalkeeper,28,3.50m,Croatia,Sheffield United,Caykur Rizespor,loan transfer
Ricardo Rodríguez,Left-Back,31,3.50m,Switzerland,Torino FC,Real Betis Balompié,free transfer
Alexis Claude-Maurice,Attacking Midfield,26,3.50m,France,OGC Nice,FC Augsburg,free transfer
Welington,Left-Back,23,3.50m,Brazil,São Paulo Futebol Clube,Southampton FC,free transfer
Gustavo Cuéllar,Defensive Midfield,32,3.50m,Colombia,Al-Shabab FC,Grêmio Foot-Ball Porto Alegrense,free transfer
Leonardo Godoy,Right-Back,29,3.50m,Argentina,Club Athletico Paranaense,Santos FC,loan transfer
Antoine Bernede,Central Midfield,25,3.50m,France,FC Lausanne-Sport,Hellas Verona,loan transfer
Sebastián Boselli,Centre-Back,20,3.50m,Uruguay,CA River Plate,Club Estudiantes de La Plata,loan transfer
Florian Grillitsch,Defensive Midfield,29,3.50m,Austria,TSG 1899 Hoffenheim,Real Valladolid CF,loan transfer
Ivan Rakitic,Central Midfield,36,3.50m,Croatia,Al-Shabab FC,HNK Hajduk Split,free transfer
Borna Barisic,Left-Back,31,3.50m,Croatia,Rangers FC,Trabzonspor,free transfer
Alan Virginius,Left Winger,21,3.50m,France,LOSC Lille,BSC Young Boys,loan transfer
Dário Essugo,Defensive Midfield,19,3.50m,Portugal,Sporting CP,UD Las Palmas,loan transfer
Allan,Defensive Midfield,33,3.50m,Brazil,Al-Wahda FC,Botafogo de Futebol e Regatas,free transfer
Alessio Zerbin,Left Winger,25,3.50m,Italy,SSC Napoli,Venezia FC,loan transfer
Luis Palma,Left Winger,25,3.50m,Honduras,Celtic FC,Olympiacos Piraeus,loan transfer
Roberto Fernández,Centre-Forward,22,3.50m,Spain,SC Braga,RCD Espanyol Barcelona,loan transfer
Jeremy Agbonifo,Right Winger,19,3.50m,Sweden,BK Häcken,RC Lens,loan transfer
Sebastián Coates,Centre-Back,33,3.50m,Uruguay,Sporting CP,Club Nacional,free transfer
Paddy McNair,Centre-Back,29,3.50m,Northern Ireland,San Diego FC,West Bromwich Albion,loan transfer
Nicolas Cozza,Left-Back,25,3.50m,France,VfL Wolfsburg,FC Nantes,loan transfer
Andy Pelmard,Right-Back,24,3.50m,France,Clermont Foot 63,US Lecce,loan transfer
Min-hyeok Yang,Right Winger,18,3.50m,"Korea, South",Tottenham Hotspur,Queens Park Rangers,loan transfer
Omar Colley,Centre-Back,31,3.50m,The Gambia,Besiktas JK,PAOK Thessaloniki,free transfer
Carlos Martín,Left Winger,22,3.50m,Spain,Atlético de Madrid,Deportivo Alavés,loan transfer
Joan Jordán,Central Midfield,30,3.50m,Spain,Sevilla FC,Deportivo Alavés,loan transfer
Marco Pellegrino,Centre-Back,22,3.50m,Argentina,AC Milan,CA Independiente,loan transfer
Nahuel Bustos,Centre-Forward,26,3.50m,Argentina,CA Talleres,CA San Lorenzo de Almagro,loan transfer
Pau López,Goalkeeper,30,3.50m,Spain,Olympique Marseille,Deportivo Toluca,loan transfer
Jari Vandeputte,Left Winger,28,3.50m,Belgium,US Catanzaro,US Cremonese,loan transfer
Lucas Zelarayán,Attacking Midfield,32,3.50m,Armenia,Al-Fateh SC,Club Atlético Belgrano,free transfer
Mohamed Elneny,Defensive Midfield,32,3.50m,Egypt,Arsenal FC,Al-Jazira Club,free transfer
Matías Abaldo,Right Winger,20,3.50m,Uruguay,Club de Gimnasia y Esgrima La Plata,Defensor Sporting Club,loan transfer
Kevin Zeroli,Central Midfield,20,3.50m,Italy,AC Milan,AC Monza,loan transfer
Joe Gelhardt,Centre-Forward,22,3.50m,England,Leeds United,Hull City,loan transfer
Lazare Amani,Central Midfield,26,3.50m,Cote d'Ivoire,Union Saint-Gilloise,Standard Liège,loan transfer
Marko Bulat,Attacking Midfield,22,3.50m,Croatia,GNK Dinamo Zagreb,Standard Liège,loan transfer
Andi Zeqiri,Centre-Forward,25,3.50m,Switzerland,KRC Genk,Standard Liège,loan transfer
Ramón Terrats,Central Midfield,24,3.50m,Spain,Villarreal CF,Getafe CF,loan transfer
Bertuğ Yıldırım,Centre-Forward,22,3.50m,Türkiye,Stade Rennais FC,Getafe CF,loan transfer
Álvaro Rodríguez,Centre-Forward,20,3.50m,Uruguay,Real Madrid,Getafe CF,loan transfer
Georgiy Dzhikiya,Centre-Back,30,3.50m,Russia,Spartak Moscow,FC Khimki,free transfer
Edimilson Fernandes,Defensive Midfield,28,3.50m,Switzerland,1.FSV Mainz 05,Stade Brestois 29,loan transfer
Arturo González,Left Winger,29,3.50m,Mexico,CF Monterrey,CF Pachuca,loan transfer
Viktor Djukanovic,Left Winger,21,3.50m,Montenegro,Hammarby IF,DAC Dunajska Streda,loan transfer
Emanuel Gularte,Centre-Back,26,3.50m,Uruguay,Querétaro FC,Puebla FC,?
Mauro Perkovic,Centre-Back,21,3.50m,Croatia,GNK Dinamo Zagreb,Cracovia,loan transfer
Andrea Compagno,Centre-Forward,28,3.50m,Italy,Tianjin Jinmen Tiger,Jeonbuk Hyundai Motors,free transfer
Léo Dubois,Right-Back,29,3.50m,France,Galatasaray,Eyüpspor,free transfer
Boris Popović,Centre-Back,24,3.50m,Serbia,Cercle Brugge ,FC Arouca,loan transfer
Matheus Uribe,Defensive Midfield,33,3.50m,Colombia,Al-Sadd SC,Atlético Nacional,free transfer
Léo Chú,Left Winger,24,3.50m,Brazil,Seattle Sounders FC,FC Dallas,?
Tom Holmes,Centre-Back,24,3.50m,England,Luton Town,FCV Dender EH,loan transfer
Josip Brekalo,Left Winger,26,3.50m,Croatia,ACF Fiorentina,Kasimpasa,loan transfer
Reinier,Attacking Midfield,22,3.50m,Brazil,Real Madrid,Granada CF,loan transfer
Anderson Duarte,Right Winger,20,3.50m,Uruguay,Deportivo Toluca,Mazatlán FC,loan transfer
Paddy McNair,Centre-Back,29,3.50m,Northern Ireland,Middlesbrough FC,San Diego FC,free transfer
